ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12842271,01/01/2014 08:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,CTA TRAIN,False,False,213,2.0,3.0,,
11831695,01/01/2014 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,1233,12.0,25.0,,
12197933,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2534,25.0,37.0,,
12178969,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2211,22.0,19.0,,
11695638,01/01/2014 12:01:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,False,False,1621,16.0,39.0,,
11267460,01/01/2014 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,True,424,4.0,10.0,,
21212,01/03/2014 04:08:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,522,5.0,34.0,41.687047734,-87.630583507
21213,01/05/2014 05:40:00 AM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,212,2.0,4.0,41.824827097,-87.613573964
21214,01/06/2014 11:12:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,823,8.0,15.0,41.779056401,-87.697491099
21215,01/08/2014 05:24:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,825,8.0,15.0,41.776950596,-87.686022023
9457402,01/10/2014 11:45:00 PM,THEFT,OVER $500,,False,False,1935,19.0,43.0,,
21216,01/12/2014 12:05:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,313,3.0,20.0,41.781617685,-87.610830908
9471510,01/14/2014 07:00:00 AM,THEFT,OVER $500,AIRCRAFT,False,False,1655,16.0,41.0,41.97389263,-87.886671959
21220,01/15/2014 01:25:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1132,11.0,24.0,41.874380415,-87.723615426
9462983,01/15/2014 03:30:00 PM,BATTERY,SIMPLE,STREET,False,False,2024,20.0,48.0,41.97234535,-87.656305177
21221,01/15/2014 07:24:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1024,10.0,22.0,41.84992966,-87.706894241
21222,01/16/2014 11:59:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,733,7.0,6.0,41.766563171,-87.644448488
21223,01/17/2014 05:22:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1531,15.0,37.0,41.893130275,-87.749180085
21224,01/17/2014 08:06:00 PM,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,False,False,622,6.0,21.0,41.744270923,-87.631704085
21225,01/18/2014 05:45:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,825,8.0,15.0,41.780592853,-87.686124717
21226,01/19/2014 04:55:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,424,4.0,10.0,41.729357514,-87.551240409
21227,01/19/2014 04:55:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,424,4.0,10.0,41.729357514,-87.551240409
21228,01/21/2014 04:42:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1624,16.0,45.0,41.959055616,-87.753115331
21229,01/22/2014 01:25:00 PM,HOMICIDE,FIRST DEGREE MURDER,PORCH,True,False,734,7.0,6.0,41.768050974,-87.654194307
21230,01/22/2014 09:50:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,832,8.0,17.0,41.765750089,-87.68195588
12420032,01/22/2014 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,813,8.0,13.0,,
21231,01/25/2014 02:55:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1013,10.0,22.0,41.844293415,-87.721233042
21232,01/25/2014 12:52:00 AM,HOMICIDE,FIRST DEGREE MURDER,TAVERN,True,False,935,9.0,3.0,41.801173,-87.642885948
21233,01/26/2014 04:48:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1031,10.0,22.0,41.838688195,-87.727693803
9481190,01/26/2014 10:30:00 AM,ASSAULT,SIMPLE,APARTMENT,False,True,333,3.0,5.0,41.76343871,-87.574941464
12021570,01/26/2014 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,322,3.0,20.0,,
21259,01/29/2014 01:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,624,6.0,6.0,41.751254843,-87.606920408
21270,02/01/2014 03:19:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1234,12.0,25.0,41.855675323,-87.67104156
12913580,02/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,513,5.0,9.0,,
21271,02/04/2014 02:11:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,621,6.0,17.0,41.755473435,-87.639428796
21273,02/04/2014 12:55:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1421,14.0,35.0,41.917371725,-87.70931778
9487197,02/05/2014 02:45:00 PM,BATTERY,SIMPLE,STREET,False,False,1013,10.0,22.0,41.84585638,-87.72460935
21274,02/05/2014 04:33:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2432,24.0,49.0,42.004694436,-87.672883168
12640933,02/05/2014 12:01:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,False,False,1731,17.0,45.0,,
21275,02/06/2014 03:15:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,614,6.0,21.0,41.745907494,-87.664537893
21276,02/07/2014 01:52:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,922,9.0,12.0,41.812023326,-87.687616836
9489223,02/07/2014 03:00:00 PM,THEFT,OVER $500,STREET,False,False,1934,19.0,44.0,41.935589582,-87.648468809
21278,02/09/2014 04:14:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1233,12.0,2.0,41.864276646,-87.659858479
21277,02/09/2014 05:30:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1113,11.0,28.0,41.879601631,-87.739113326
21279,02/12/2014 08:11:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,313,3.0,20.0,41.783138983,-87.614484044
21280,02/13/2014 09:00:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1512,15.0,29.0,41.886275336,-87.765078145
21281,02/14/2014 10:10:00 AM,HOMICIDE,FIRST DEGREE MURDER,NURSING HOME,True,False,712,7.0,16.0,41.781326622,-87.647516964
13138906,02/14/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1713,17.0,33.0,,
21282,02/15/2014 04:38:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,332,3.0,5.0,41.769167875,-87.584423262
9498610,02/16/2014 03:15:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2513,25.0,36.0,41.909307068,-87.80576669
9500862,02/18/2014 08:25:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2513,25.0,36.0,41.909307068,-87.80576669
21286,02/20/2014 10:41:00 PM,HOMICIDE,FIRST DEGREE MURDER,PORCH,False,False,1513,15.0,29.0,41.87980496,-87.773012089
9505439,02/20/2014 10:45:00 AM,BATTERY,SIMPLE,GOVERNMENT BUILDING / PROPERTY,False,False,111,1.0,42.0,,
21290,02/21/2014 03:00:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1121,11.0,27.0,41.892506242,-87.711348524
21289,02/21/2014 06:41:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,424,4.0,7.0,41.742527775,-87.54887474
21287,02/22/2014 05:45:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,915,9.0,3.0,41.826609817,-87.633836383
9507940,02/22/2014 09:00:00 AM,THEFT,OVER $500,RESIDENCE,False,False,2211,22.0,19.0,41.713603504,-87.688430709
21288,02/22/2014 10:08:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,1523,15.0,28.0,41.884808053,-87.756450067
21291,02/27/2014 04:21:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,1133,11.0,24.0,41.869546445,-87.722846293
21296,02/28/2014 01:08:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,False,False,512,5.0,9.0,41.705372982,-87.621441074
9514079,02/28/2014 08:00:00 PM,THEFT,OVER $500,STREET,False,False,2515,25.0,37.0,41.917676846,-87.75994229
21293,02/28/2014 11:02:00 AM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,621,6.0,21.0,41.748049797,-87.647607407
12483284,02/28/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,411,4.0,8.0,,
21292,02/28/2014 12:36:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,934,9.0,16.0,41.795211551,-87.662188272
12008858,03/01/2014 01:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1131,11.0,28.0,,
21294,03/01/2014 01:32:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,924,9.0,20.0,41.810385771,-87.668984628
21295,03/01/2014 02:22:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,824,8.0,16.0,41.790226834,-87.681539462
21298,03/02/2014 02:40:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,612,6.0,21.0,41.747664827,-87.654874605
