ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12429645,01/01/2012 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1132,11.0,28.0,,
12643174,01/01/2012 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,2433,24.0,48.0,,
11817369,01/01/2012 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,BANK,False,False,1821,18.0,27.0,,
10774674,01/01/2012 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,922,9.0,14.0,,
20224,01/02/2012 02:22:00 AM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,1713,17.0,33.0,41.968479866,-87.705259739
20227,01/02/2012 05:15:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,513,5.0,9.0,41.699577165,-87.608304224
20226,01/02/2012 05:53:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,False,False,726,7.0,15.0,41.773189519,-87.671329907
20225,01/02/2012 05:58:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,421,4.0,7.0,41.75356945,-87.56450286
20228,01/03/2012 12:07:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1111,11.0,37.0,41.900017263,-87.726225708
8425282,01/04/2012 06:20:00 AM,ASSAULT,SIMPLE,APARTMENT,False,True,633,6.0,6.0,41.73298281,-87.605983251
20230,01/04/2012 08:11:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,713,7.0,16.0,41.789856574,-87.662038784
20229,01/04/2012 09:20:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,832,8.0,15.0,41.764671452,-87.684844209
20231,01/05/2012 02:35:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1113,11.0,28.0,41.879294275,-87.741238618
20232,01/05/2012 08:00:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,2432,24.0,40.0,42.001682746,-87.67313138
20233,01/06/2012 02:32:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1113,11.0,28.0,41.879629789,-87.736605042
8562058,01/06/2012 09:00:00 AM,THEFT,$500 AND UNDER,STREET,False,False,1824,18.0,42.0,41.903141995,-87.63077557
20234,01/07/2012 03:57:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1731,17.0,31.0,41.93999607,-87.727949036
