ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
7297009,01/01/2010 01:00:00 AM,BATTERY,SIMPLE,SIDEWALK,False,False,1834,18.0,42.0,41.891990384,-87.611461502
7296925,01/01/2010 02:00:00 AM,THEFT,PURSE-SNATCHING,STREET,False,False,1123,11.0,28.0,41.885372306,-87.708013413
7297086,01/01/2010 03:20:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1331,12.0,28.0,41.882811961,-87.704502002
7297881,01/01/2010 03:30:00 AM,THEFT,OVER $500,STREET,False,False,414,4.0,8.0,41.748831874,-87.57593428
7300722,01/01/2010 04:40:00 AM,CRIMINAL TRESPASS,TO LAND,OTHER,False,False,1831,18.0,42.0,41.892454008,-87.629115076
7297678,01/01/2010 06:00:00 PM,THEFT,POCKET-PICKING,BAR OR TAVERN,False,False,1831,18.0,42.0,41.891620575,-87.63148948
7305130,01/01/2010 08:55:00 PM,NARCOTICS,POSS: METHAMPHETAMINES,STREET,True,False,914,9.0,12.0,41.814927863,-87.688299325
12166613,01/01/2010 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,221,2.0,4.0,,
7297852,01/01/2010 09:00:00 AM,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2223,22.0,21.0,41.718498619,-87.647998571
7299296,01/01/2010 09:30:00 PM,THEFT,$500 AND UNDER,STREET,False,False,2521,25.0,31.0,41.930520192,-87.754542649
11072394,01/01/2010 10:00:00 PM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2535,25.0,26.0,,
7297778,01/01/2010 10:30:00 PM,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,True,False,1731,17.0,30.0,41.942535495,-87.742366747
12960987,01/01/2010 12:00:00 PM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,True,812,8.0,13.0,,
11875312,01/01/2010 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,931,9.0,15.0,,
12224477,01/01/2010 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,True,True,1434,14.0,32.0,,
12857703,01/01/2010 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,334,3.0,7.0,,
7442551,01/01/2010 12:00:00 PM,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,False,False,421,4.0,7.0,41.756653317,-87.554211288
12084503,01/01/2010 12:00:00 PM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,824,8.0,16.0,,
7427536,01/01/2010 12:00:00 PM,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1531,15.0,37.0,41.897717764,-87.749006048
11145031,01/01/2010 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1013,10.0,22.0,,
7296944,01/01/2010 12:10:00 AM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENTIAL YARD (FRONT/BACK),True,False,1532,15.0,28.0,41.890224873,-87.75420507
7298918,01/02/2010 01:31:00 AM,BATTERY,SIMPLE,BAR OR TAVERN,True,False,1323,12.0,27.0,41.89039523,-87.647607586
7299155,01/02/2010 02:40:00 PM,BATTERY,SIMPLE,APARTMENT,False,False,932,9.0,16.0,41.795092268,-87.671904018
19237,01/02/2010 04:17:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,2233,22.0,34.0,41.693524794,-87.638780573
7299226,01/02/2010 07:30:00 PM,THEFT,$500 AND UNDER,STREET,False,False,331,3.0,5.0,41.77111611,-87.576434688
19238,01/02/2010 09:44:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,713,7.0,16.0,41.789740875,-87.659619818
7306599,01/02/2010 11:33:59 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,False,False,2412,24.0,50.0,41.997674602,-87.693193081
7297823,01/02/2010 12:45:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,713,7.0,16.0,41.782616059,-87.661853989
7298253,01/02/2010 12:45:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2524,25.0,31.0,41.930131708,-87.739195832
7301703,01/02/2010 12:57:13 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,524,5.0,34.0,41.683508771,-87.642098898
7298893,01/03/2010 02:00:00 AM,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,False,False,414,4.0,8.0,41.751151039,-87.575969317
19239,01/03/2010 03:04:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,False,False,714,7.0,15.0,41.785941369,-87.671653413
7299448,01/03/2010 04:30:00 PM,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,122,1.0,42.0,41.883500187,-87.627876698
7299490,01/03/2010 04:30:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,933,9.0,16.0,41.797251993,-87.661026435
7303708,01/03/2010 05:50:00 AM,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,False,False,1653,16.0,41.0,41.976454319,-87.901364605
7305812,01/03/2010 06:30:00 PM,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,1033,10.0,12.0,41.850862373,-87.700326099
7299726,01/03/2010 08:28:00 PM,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,722,7.0,6.0,41.771793286,-87.626741205
7299827,01/03/2010 08:30:00 PM,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1414,14.0,35.0,41.918648962,-87.707012572
7299629,01/03/2010 09:00:00 AM,BATTERY,SIMPLE,RESIDENCE,False,False,2423,24.0,49.0,42.013787643,-87.673182834
