ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
10801149,01/01/2017 01:10:00 AM,OTHER OFFENSE,PAROLE VIOLATION,STREET,False,False,611,6.0,18.0,41.757026093,-87.673324912
11985119,01/01/2017 02:20:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1014,10.0,24.0,,
23059,01/01/2017 05:19:00 AM,HOMICIDE,FIRST DEGREE MURDER,TAVERN,True,False,1914,19.0,46.0,41.966081547,-87.657908498
23060,01/01/2017 06:18:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1113,11.0,28.0,41.879290642,-87.741598513
12033873,01/01/2017 10:10:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,414,4.0,8.0,,
12162426,01/01/2017 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1421,14.0,1.0,,
13219172,01/01/2017 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1712,17.0,39.0,,
13037956,01/01/2017 12:00:00 AM,SEX OFFENSE,ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE,APARTMENT,False,True,2423,24.0,49.0,,
13219173,01/01/2017 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1712,17.0,39.0,,
13070552,01/01/2017 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2433,24.0,48.0,,
12709074,01/01/2017 12:00:00 PM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,PARK PROPERTY,False,True,531,5.0,9.0,,
11838710,01/01/2017 12:01:00 AM,BATTERY,SIMPLE,BANK,False,False,112,1.0,42.0,,
12825859,01/01/2017 12:01:00 AM,SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,RESIDENCE,False,True,1633,16.0,36.0,,
11648406,01/01/2017 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1033,10.0,12.0,,
11699349,01/01/2017 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,2522,25.0,36.0,,
23106,01/02/2017 09:14:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2524,25.0,31.0,41.926840967,-87.735415625
23062,01/03/2017 11:52:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,1134,11.0,24.0,41.871868444,-87.706610311
