ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12583079,01/01/2022 01:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,923,9.0,14.0,,
26544,01/01/2022 05:05:00 AM,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,True,False,224,2.0,3.0,41.802916644,-87.625915226
13213753,01/01/2022 06:00:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,1821,18.0,27.0,,
26543,01/01/2022 06:02:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,713,7.0,16.0,41.784524829,-87.660701084
26545,01/01/2022 09:16:00 AM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1112,11.0,27.0,41.899612568,-87.721329475
13217488,01/01/2022 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,HOSPITAL BUILDING / GROUNDS,False,True,1833,18.0,2.0,,
13022198,01/01/2022 12:00:00 PM,STALKING,SIMPLE,RESIDENCE,False,True,632,6.0,8.0,,
13018420,01/01/2022 12:00:00 AM,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,1134,11.0,24.0,,
13221894,01/01/2022 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,RESIDENCE,False,False,1122,11.0,37.0,,
12941859,01/01/2022 12:00:00 AM,BATTERY,SIMPLE,STREET,False,False,1821,18.0,2.0,,
12985196,01/01/2022 12:00:00 AM,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1632,16.0,36.0,,
13140498,01/01/2022 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,1924,19.0,44.0,,
12583361,01/02/2022 05:00:00 PM,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SPORTS ARENA / STADIUM,False,False,132,1.0,4.0,,
26546,01/02/2022 05:11:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1024,10.0,22.0,41.847554681,-87.711218923
13230679,01/02/2022 07:55:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,815,8.0,22.0,,
26547,01/02/2022 11:43:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1522,15.0,29.0,41.874837861,-87.755838422
26548,01/02/2022 11:55:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,712,7.0,16.0,41.793202868,-87.652418003
26549,01/03/2022 12:01:00 AM,HOMICIDE,FIRST DEGREE MURDER,DRIVEWAY,False,False,523,5.0,9.0,41.664534305,-87.629423005
26550,01/04/2022 06:33:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,523,5.0,34.0,41.671877072,-87.636901383
26716,01/04/2022 09:26:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,512,5.0,34.0,41.703507823,-87.624263094
26552,01/04/2022 09:42:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,132,1.0,3.0,41.853930752,-87.623841071
26551,01/04/2022 09:50:00 PM,HOMICIDE,FIRST DEGREE MURDER,LIQUOR STORE,False,False,731,7.0,6.0,41.758090343,-87.633807628
13172268,01/06/2022 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1633,16.0,30.0,,
26553,01/06/2022 12:36:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2223,22.0,21.0,41.721518939,-87.638662345
12990164,01/07/2022 03:00:00 AM,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,False,False,2234,22.0,34.0,,
12607365,01/07/2022 04:10:00 PM,THEFT,OVER $500,APARTMENT,False,False,332,3.0,5.0,,
13223955,01/07/2022 12:00:00 PM,DECEPTIVE PRACTICE,FORGERY,OTHER (SPECIFY),False,False,1611,16.0,41.0,,
12594951,01/10/2022 04:05:00 PM,THEFT,FROM BUILDING,RESTAURANT,False,False,1224,12.0,27.0,,
26554,01/10/2022 07:15:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,611,6.0,17.0,41.752165642,-87.664260376
12611980,01/10/2022 10:35:00 AM,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,False,False,122,1.0,42.0,,
26555,01/10/2022 10:47:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1532,15.0,28.0,41.888592406,-87.755365661
12589893,01/11/2022 03:00:00 PM,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,RESIDENCE,False,True,423,4.0,7.0,41.736409029,-87.562410309
26556,01/11/2022 08:14:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,621,6.0,21.0,41.74799138,-87.641524877
26559,01/12/2022 04:15:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1225,12.0,27.0,41.878646518,-87.682396953
26557,01/12/2022 07:22:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,731,7.0,6.0,41.759331691,-87.630810679
26558,01/12/2022 11:50:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,734,7.0,17.0,41.761306979,-87.661449428
12601676,01/13/2022 04:00:00 PM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1211,12.0,36.0,41.899206068,-87.705505587
12594139,01/13/2022 05:30:00 AM,THEFT,OVER $500,RESIDENCE - GARAGE,False,False,131,1.0,3.0,,
12982145,01/13/2022 10:55:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,622,6.0,21.0,,
12592454,01/14/2022 03:55:00 PM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,724,7.0,16.0,41.771782439,-87.649436929
26561,01/15/2022 06:10:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,True,2521,25.0,31.0,41.937712646,-87.743190462
26563,01/15/2022 07:50:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2223,22.0,21.0,41.726286508,-87.636057659
26562,01/15/2022 08:13:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2534,25.0,26.0,41.906432489,-87.727112721
26560,01/15/2022 12:08:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1221,12.0,27.0,41.895558372,-87.705897593
26564,01/15/2022 12:57:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2531,25.0,29.0,41.909987561,-87.772737189
26565,01/16/2022 01:10:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,925,9.0,3.0,41.816407929,-87.631801368
26566,01/16/2022 01:14:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,832,8.0,18.0,41.764221922,-87.684452865
26567,01/16/2022 07:15:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1411,14.0,32.0,41.930732102,-87.697581941
12596797,01/16/2022 12:37:00 AM,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,ALLEY,False,False,111,1.0,42.0,,
26568,01/17/2022 04:10:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,613,6.0,21.0,41.742740762,-87.654743231
26569,01/18/2022 02:41:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1213,12.0,1.0,41.89649893,-87.664915722
26570,01/18/2022 05:15:00 PM,HOMICIDE,FIRST DEGREE MURDER,YARD,False,True,313,3.0,20.0,41.781695764,-87.608413831
12595574,01/18/2022 12:30:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,812,8.0,23.0,41.77383929,-87.791704574
26574,01/20/2022 03:10:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,612,6.0,17.0,41.755315836,-87.650223819
26571,01/20/2022 06:05:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1524,15.0,37.0,41.901246582,-87.764251168
26572,01/20/2022 06:30:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1524,15.0,37.0,41.901246582,-87.764251168
27376,01/20/2022 06:34:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,822,8.0,14.0,41.793451822,-87.707781864
26573,01/20/2022 09:45:00 PM,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,2222,22.0,21.0,41.735563992,-87.647282257
13178111,01/20/2022 12:00:00 AM,DECEPTIVE PRACTICE,INSURANCE FRAUD,RESIDENCE,False,False,414,4.0,8.0,,
26576,01/22/2022 03:15:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,True,925,9.0,3.0,41.818183257,-87.634016137
26578,01/22/2022 04:43:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1031,10.0,22.0,41.844260796,-87.723872115
26577,01/22/2022 05:47:00 AM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,921,9.0,15.0,41.815682629,-87.701648434
12602399,01/22/2022 06:30:00 PM,THEFT,$500 AND UNDER,APARTMENT,False,False,1215,12.0,1.0,,
26575,01/22/2022 12:40:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2223,22.0,21.0,41.729569227,-87.636143056
26580,01/23/2022 04:24:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,324,3.0,7.0,41.766038786,-87.58013428
26579,01/23/2022 05:47:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,324,3.0,7.0,41.766038786,-87.58013428
26581,01/24/2022 01:50:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,True,433,4.0,10.0,41.694985037,-87.52938023
12645707,01/24/2022 03:29:00 PM,NARCOTICS,MANUFACTURE / DELIVER - CRACK,CTA STATION,True,False,1834,18.0,42.0,,
12600224,01/24/2022 04:10:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,131,1.0,3.0,41.856106646,-87.625571623
26582,01/24/2022 08:31:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,224,2.0,3.0,41.80694958,-87.624392694
13014343,01/25/2022 02:30:00 PM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,414,4.0,8.0,,
27464,01/25/2022 07:00:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1924,19.0,44.0,41.946669268,-87.65608802
26792,01/26/2022 01:45:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1031,10.0,22.0,41.839948009,-87.725652525
12602374,01/26/2022 05:45:00 PM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2424,24.0,49.0,42.007247653,-87.673555844
26583,01/26/2022 06:21:00 AM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,922,9.0,15.0,41.811108933,-87.688007507
26584,01/26/2022 08:34:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1022,10.0,24.0,41.865534921,-87.705644218
12605525,01/26/2022 11:05:00 AM,THEFT,FROM BUILDING,APARTMENT,False,False,1824,18.0,42.0,,
26585,01/27/2022 03:20:00 PM,HOMICIDE,FIRST DEGREE MURDER,RAILROAD PROPERTY,False,False,2233,22.0,34.0,41.692461812,-87.63365141
26587,01/27/2022 05:32:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1912,19.0,47.0,41.965249692,-87.668187079
26586,01/27/2022 05:44:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1912,19.0,47.0,41.965249692,-87.668187079
12607400,01/28/2022 12:35:00 PM,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),False,False,1723,17.0,33.0,,
26588,01/29/2022 03:51:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1024,10.0,12.0,41.849111874,-87.706392045
26589,01/29/2022 09:12:00 PM,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,True,False,524,5.0,34.0,41.683547211,-87.642102147
26590,01/30/2022 01:22:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,823,8.0,23.0,41.779385228,-87.710426369
26591,01/30/2022 02:36:00 AM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,1131,11.0,24.0,41.866893639,-87.738177347
12605225,01/30/2022 05:30:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1224,12.0,27.0,41.885105137,-87.646823184
13225134,01/30/2022 09:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BANK,False,False,422,4.0,7.0,,
12607613,01/30/2022 10:19:00 AM,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1925,19.0,44.0,,
