ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
11554052,01/01/2019 04:00:00 PM,BATTERY,SIMPLE,STREET,True,False,1115,11.0,28.0,41.87862256,-87.72559838
12411172,01/01/2019 05:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,321,3.0,5.0,,
12907080,01/01/2019 08:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,914,9.0,25.0,,
12377042,01/01/2019 10:00:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,323,3.0,8.0,,
12662826,01/01/2019 10:35:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,632,6.0,9.0,,
13211437,01/01/2019 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,1112,11.0,27.0,,
12493491,01/01/2019 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,632,6.0,6.0,,
12291164,01/01/2019 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2533,25.0,37.0,,
12812441,01/01/2019 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,1111,11.0,28.0,,
12430502,01/01/2019 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,222,2.0,4.0,,
12626574,01/01/2019 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2213,22.0,19.0,,
12215772,01/01/2019 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,SCHOOL - PUBLIC BUILDING,False,False,234,2.0,5.0,,
12575457,01/01/2019 12:01:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1612,16.0,41.0,,
12240599,01/01/2019 12:01:00 AM,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,RESIDENCE,False,False,2411,24.0,50.0,,
13210699,01/01/2019 12:01:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,HOSPITAL BUILDING / GROUNDS,False,False,722,7.0,20.0,,
12649018,01/02/2019 12:00:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,FACTORY / MANUFACTURING BUILDING,False,False,1223,12.0,27.0,,
24369,01/03/2019 02:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,224,2.0,3.0,41.802908524,-87.62104831
24368,01/03/2019 02:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,224,2.0,3.0,41.802908524,-87.62104831
24370,01/05/2019 04:23:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1433,14.0,2.0,41.904788891,-87.66155984
24372,01/06/2019 10:23:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,812,8.0,13.0,41.77783091,-87.773112387
24371,01/06/2019 12:10:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,734,7.0,17.0,41.764064647,-87.659514616
11561222,01/07/2019 02:30:00 AM,BATTERY,SIMPLE,SIDEWALK,False,False,623,6.0,6.0,41.758172871,-87.62845198
24373,01/07/2019 03:45:00 PM,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,True,False,622,6.0,21.0,41.736129473,-87.629162044
24374,01/07/2019 05:07:00 PM,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,714,7.0,16.0,41.779309922,-87.674302688
11561398,01/08/2019 08:30:00 PM,THEFT,OVER $500,STREET,False,False,1933,19.0,32.0,41.933221534,-87.659637153
11561121,01/09/2019 03:20:00 AM,THEFT,OVER $500,APARTMENT,False,True,724,7.0,16.0,41.77002,-87.653033473
24375,01/11/2019 07:00:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,222,2.0,4.0,41.810836292,-87.60392204
24376,01/11/2019 08:00:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,False,False,2533,25.0,37.0,41.910469919,-87.751645139
24377,01/11/2019 08:57:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,1115,11.0,28.0,41.878455417,-87.73295131
24378,01/11/2019 10:30:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,111,1.0,4.0,41.875679322,-87.62657476
11565231,01/12/2019 10:30:00 PM,THEFT,OVER $500,STREET,False,False,1432,14.0,32.0,41.92301979,-87.682699405
24379,01/12/2019 12:45:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,422,4.0,7.0,41.751064764,-87.56258312
11566267,01/13/2019 10:00:00 PM,THEFT,$500 AND UNDER,STREET,False,False,814,8.0,22.0,41.80853006,-87.752960732
24381,01/15/2019 01:22:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1122,11.0,37.0,41.890532455,-87.723502246
11567279,01/15/2019 10:00:00 AM,THEFT,OVER $500,STREET,False,False,1524,15.0,37.0,41.896721939,-87.759960813
12925061,01/16/2019 03:20:00 AM,THEFT,OVER $500,APARTMENT,False,False,331,3.0,5.0,,
11570044,01/17/2019 01:45:00 PM,THEFT,OVER $500,STREET,False,False,2534,25.0,26.0,41.907786605,-87.728903688
12509305,01/18/2019 12:00:00 AM,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,1724,17.0,33.0,,
24383,01/19/2019 01:22:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1023,10.0,24.0,41.852534276,-87.690560725
24384,01/19/2019 01:50:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,True,1732,17.0,30.0,41.942746559,-87.726537284
11571824,01/19/2019 02:35:00 PM,THEFT,OVER $500,OTHER,False,False,1831,18.0,42.0,41.893106637,-87.640310047
12615457,01/19/2019 12:00:00 PM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,SCHOOL - PUBLIC GROUNDS,False,False,222,2.0,4.0,,
24382,01/19/2019 12:18:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2221,22.0,21.0,41.735716764,-87.668604253
11572286,01/20/2019 04:00:00 AM,THEFT,OVER $500,STREET,False,False,332,3.0,5.0,41.76623799,-87.5770382
24385,01/20/2019 11:23:00 AM,HOMICIDE,FIRST DEGREE MURDER,PORCH,False,False,611,6.0,17.0,41.750341579,-87.664414911
12653855,01/22/2019 01:45:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1114,11.0,28.0,,
