ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12752447,01/01/2015 07:00:00 PM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,1934,19.0,44.0,,
11911425,01/01/2015 07:25:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1523,15.0,37.0,,
10730816,01/01/2015 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,2525,25.0,30.0,,
10321311,01/01/2015 08:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1033,10.0,12.0,,
11028448,01/01/2015 12:00:00 AM,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,True,True,1532,15.0,37.0,,
10561952,01/01/2015 12:00:00 AM,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,1013,10.0,22.0,,
11051313,01/01/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,726,7.0,15.0,,
10535108,01/01/2015 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,2233,22.0,34.0,,
12640554,01/01/2015 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1624,16.0,38.0,,
10790249,01/01/2015 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,824,8.0,16.0,,
11607013,01/01/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,824,8.0,14.0,,
12115016,01/01/2015 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,OTHER (SPECIFY),False,False,123,1.0,4.0,,
12689809,01/01/2015 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,SCHOOL - PRIVATE GROUNDS,False,False,1633,16.0,30.0,,
10428728,01/01/2015 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,False,True,432,4.0,10.0,,
10426805,01/01/2015 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,612,6.0,21.0,,
12287689,01/01/2015 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,834,8.0,18.0,,
12454394,01/01/2015 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1024,10.0,24.0,,
11645375,01/01/2015 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,1423,14.0,26.0,,
11800697,01/01/2015 12:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,711,7.0,3.0,,
10462052,01/01/2015 12:01:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2024,20.0,48.0,,
10412237,01/01/2015 12:01:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,1034,10.0,25.0,,
12829020,01/01/2015 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,611,6.0,17.0,,
9911589,01/01/2015 12:30:00 AM,THEFT,PURSE-SNATCHING,APARTMENT,False,False,1921,19.0,32.0,,
9991558,01/01/2015 12:45:00 PM,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,1132,11.0,24.0,,
9913698,01/03/2015 01:05:00 PM,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,CHA PARKING LOT / GROUNDS,False,False,424,4.0,10.0,41.736881094,-87.545825475
9913398,01/03/2015 05:39:00 AM,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,2513,25.0,36.0,41.909023481,-87.794924093
21714,01/03/2015 05:50:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1531,15.0,28.0,41.894009145,-87.751482327
9914385,01/04/2015 11:20:00 AM,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2513,25.0,36.0,41.909307068,-87.80576669
9915319,01/05/2015 04:19:00 PM,THEFT,RETAIL THEFT,GROCERY FOOD STORE,False,False,2422,24.0,49.0,42.019399237,-87.675049485
21715,01/05/2015 10:11:00 PM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,True,835,8.0,18.0,41.752416738,-87.710383001
21717,01/06/2015 03:38:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,414,4.0,7.0,41.751678423,-87.57023511
21718,01/06/2015 05:53:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,414,4.0,7.0,41.751678423,-87.57023511
21716,01/06/2015 12:49:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,633,6.0,9.0,41.723546383,-87.607485349
9917861,01/07/2015 04:00:00 PM,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2422,24.0,49.0,42.019398266,-87.67488021
21719,01/08/2015 09:30:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,1022,10.0,24.0,41.865562351,-87.703136478
21722,01/09/2015 04:20:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,724,7.0,17.0,41.77234679,-87.653434136
9921775,01/10/2015 10:30:00 PM,THEFT,OVER $500,STREET,False,False,1933,19.0,32.0,41.938882329,-87.661889437
21721,01/10/2015 12:25:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1113,11.0,28.0,41.880298941,-87.735464135
9921622,01/11/2015 03:10:00 AM,ROBBERY,ATTEMPT ARMED - KNIFE / CUTTING INSTRUMENT,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,432,4.0,10.0,41.714672873,-87.536485852
