ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
11981042,01/01/2018 01:00:00 PM,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,False,False,1531,15.0,37.0,,
23757,01/01/2018 02:46:00 AM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,1732,17.0,30.0,41.944561251,-87.726681812
23759,01/01/2018 06:27:00 PM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,935,9.0,3.0,41.808168003,-87.633336457
12312861,01/01/2018 08:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,831,8.0,18.0,,
12070026,01/01/2018 09:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1011,10.0,24.0,,
12282123,01/01/2018 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,434,4.0,10.0,,
13006342,01/01/2018 10:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1024,10.0,12.0,,
23761,01/01/2018 10:40:00 PM,HOMICIDE,FIRST DEGREE MURDER,ALLEY,True,False,411,4.0,8.0,41.746984035,-87.585428696
13219480,01/01/2018 11:15:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,2212,22.0,19.0,,
23758,01/01/2018 11:33:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,False,False,1935,19.0,43.0,41.929726567,-87.64092074
11768997,01/01/2018 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,1224,12.0,27.0,,
12109794,01/01/2018 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,512,5.0,34.0,,
12730397,01/01/2018 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,924,9.0,15.0,,
13230310,01/01/2018 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1912,19.0,47.0,,
13060100,01/01/2018 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER (SPECIFY),False,False,1135,11.0,28.0,,
11848137,01/01/2018 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,RESIDENCE,True,False,631,6.0,6.0,,
12663238,01/01/2018 12:00:00 AM,THEFT,FROM BUILDING,SCHOOL - PUBLIC GROUNDS,False,False,2513,25.0,29.0,,
12143749,01/01/2018 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,815,8.0,14.0,,
12057588,01/01/2018 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,1712,17.0,35.0,,
12644665,01/01/2018 12:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,1423,14.0,1.0,,
12510296,01/01/2018 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,False,True,1112,11.0,37.0,,
12283509,01/01/2018 12:01:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,214,2.0,4.0,,
11930050,01/01/2018 12:01:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,False,1523,15.0,37.0,,
12873550,01/01/2018 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2412,24.0,50.0,41.998188218,-87.697223659
11196433,01/01/2018 12:35:00 AM,BATTERY,SIMPLE,ALLEY,False,False,1711,17.0,39.0,41.985483963,-87.715053049
24584,01/03/2018 11:38:00 AM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,True,321,3.0,20.0,41.77073417,-87.606968284
23763,01/05/2018 06:50:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1523,15.0,37.0,41.887322035,-87.758689717
11196495,01/05/2018 10:02:00 PM,BATTERY,SIMPLE,STREET,False,False,1112,11.0,27.0,41.896371061,-87.721224523
23765,01/06/2018 01:20:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,733,7.0,6.0,41.762263405,-87.652829514
23762,01/06/2018 12:54:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,314,3.0,5.0,41.782890153,-87.588773433
23766,01/07/2018 01:35:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1532,15.0,28.0,41.88832617,-87.755357043
23767,01/07/2018 04:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1121,11.0,27.0,41.894687135,-87.710192429
11223605,01/08/2018 10:16:00 PM,THEFT,OVER $500,BANK,False,False,2221,22.0,19.0,41.721866607,-87.682095236
12544308,01/08/2018 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SCHOOL - PUBLIC BUILDING,False,False,2525,25.0,35.0,,
23768,01/09/2018 04:08:00 AM,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,False,False,713,7.0,16.0,41.793669876,-87.66370422
23770,01/09/2018 05:22:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1421,14.0,35.0,41.915820895,-87.705228873
11199187,01/09/2018 08:30:00 AM,BATTERY,SIMPLE,OTHER,False,False,2511,25.0,36.0,41.93176938,-87.806529799
23772,01/09/2018 08:36:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1533,15.0,28.0,41.878486072,-87.753877774
23769,01/09/2018 08:49:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1532,15.0,28.0,41.891717214,-87.748146223
11199466,01/09/2018 12:00:00 AM,THEFT,OVER $500,OTHER,False,False,1831,18.0,42.0,41.893983593,-87.634677382
23771,01/10/2018 03:03:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,533,5.0,9.0,41.652824848,-87.614017425
11200782,01/10/2018 03:11:00 PM,BATTERY,SIMPLE,OTHER,False,False,1221,12.0,27.0,41.89003988,-87.70392429
23774,01/10/2018 03:18:00 AM,HOMICIDE,FIRST DEGREE MURDER,HOUSE,True,False,2532,25.0,37.0,41.904802597,-87.75973423
12286916,01/10/2018 12:01:00 AM,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1032,10.0,22.0,,
11201515,01/11/2018 02:35:00 PM,BATTERY,SIMPLE,CTA BUS,True,False,2223,22.0,21.0,41.73591508,-87.635403942
23773,01/11/2018 05:51:00 AM,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,True,False,815,8.0,23.0,41.803051264,-87.743030382
23952,01/11/2018 12:00:00 AM,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,False,False,632,6.0,6.0,41.736886394,-87.624170849
23775,01/11/2018 12:07:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1523,15.0,37.0,41.890022969,-87.758808744
11202351,01/12/2018 03:00:00 PM,BATTERY,SIMPLE,SIDEWALK,False,False,1654,16.0,41.0,41.956448967,-87.919996132
23817,01/12/2018 07:00:00 AM,HOMICIDE,FIRST DEGREE MURDER,YMCA,True,False,1922,19.0,44.0,41.942257928,-87.669951491
