ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
25699,01/01/2021 03:48:00 AM,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,224,2.0,3.0,41.808890677,-87.616576757
13009171,01/01/2021 04:00:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,332,3.0,5.0,,
12260388,01/01/2021 05:20:00 PM,ASSAULT,SIMPLE,STREET,False,False,935,9.0,15.0,41.806201677,-87.64170959
13216163,01/01/2021 05:30:00 PM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,731,7.0,6.0,,
25700,01/01/2021 06:06:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1532,15.0,28.0,41.885720773,-87.747018429
12685682,01/01/2021 12:00:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,SMALL RETAIL STORE,False,False,1833,18.0,42.0,,
12625164,01/01/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,True,False,1831,18.0,42.0,,
12696048,01/01/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,915,9.0,11.0,,
13218115,01/01/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,1522,15.0,29.0,,
12697863,01/01/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,324,3.0,7.0,,
12775573,01/01/2021 12:00:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,632,6.0,6.0,,
12795237,01/01/2021 12:00:00 PM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,724,7.0,6.0,,
12877743,01/01/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,621,6.0,17.0,,
13204236,01/01/2021 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,311,3.0,20.0,,
13211146,01/01/2021 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1412,14.0,35.0,,
13121605,01/01/2021 12:00:00 AM,OBSCENITY,OBSCENE MATTER,RESIDENCE,True,True,1711,17.0,50.0,,
12738135,01/01/2021 12:01:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,413,4.0,7.0,,
25701,01/02/2021 09:55:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1022,10.0,24.0,41.858213965,-87.704772409
12717603,01/02/2021 12:00:00 AM,THEFT,OVER $500,APARTMENT,False,False,1132,11.0,24.0,,
25702,01/03/2021 08:09:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,332,3.0,5.0,41.771062488,-87.586270811
25703,01/03/2021 09:28:00 PM,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,True,False,424,4.0,10.0,41.736660376,-87.54445421
12260792,01/04/2021 02:35:00 AM,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,RESIDENCE,False,False,822,8.0,14.0,41.78935216,-87.708342424
12260807,01/04/2021 06:09:00 AM,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,914,9.0,11.0,41.849609337,-87.640603567
